##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	00050101.aligned-bwa.sorted-samtools.merged.rh.dedupped.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	873870503
Sequences flagged as poor quality	0
Sequence length	30-151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.9983611873898	37.0	37.0	37.0	37.0	37.0
2	35.76024767939787	37.0	37.0	37.0	37.0	37.0
3	35.95214518986917	37.0	37.0	37.0	37.0	37.0
4	35.88724931593211	37.0	37.0	37.0	37.0	37.0
5	35.97719763519699	37.0	37.0	37.0	37.0	37.0
6	36.18404775587213	37.0	37.0	37.0	37.0	37.0
7	36.101977548954984	37.0	37.0	37.0	37.0	37.0
8	36.096845557447544	37.0	37.0	37.0	37.0	37.0
9	36.22026646664374	37.0	37.0	37.0	37.0	37.0
10-14	36.08429818302266	37.0	37.0	37.0	37.0	37.0
15-19	36.036591698301095	37.0	37.0	37.0	37.0	37.0
20-24	35.99267004713168	37.0	37.0	37.0	37.0	37.0
25-29	35.903099205993	37.0	37.0	37.0	37.0	37.0
30-34	35.84651841931684	37.0	37.0	37.0	37.0	37.0
35-39	35.80832942300576	37.0	37.0	37.0	37.0	37.0
40-44	35.74482351785429	37.0	37.0	37.0	37.0	37.0
45-49	35.6812848586256	37.0	37.0	37.0	37.0	37.0
50-54	35.663355925243145	37.0	37.0	37.0	37.0	37.0
55-59	35.609092125893696	37.0	37.0	37.0	37.0	37.0
60-64	35.549679155560874	37.0	37.0	37.0	37.0	37.0
65-69	35.489279338460655	37.0	37.0	37.0	37.0	37.0
70-74	35.42653485217379	37.0	37.0	37.0	37.0	37.0
75-79	35.39240690524644	37.0	37.0	37.0	37.0	37.0
80-84	35.3518364517882	37.0	37.0	37.0	37.0	37.0
85-89	35.27813393337219	37.0	37.0	37.0	34.6	37.0
90-94	35.172183625465394	37.0	37.0	37.0	25.0	37.0
95-99	35.15795267382474	37.0	37.0	37.0	25.0	37.0
100-104	35.09855895385623	37.0	37.0	37.0	25.0	37.0
105-109	35.03856686998624	37.0	37.0	37.0	25.0	37.0
110-114	34.91392851848861	37.0	37.0	37.0	25.0	37.0
115-119	34.85741392379123	37.0	37.0	37.0	25.0	37.0
120-124	34.82175416964172	37.0	37.0	37.0	25.0	37.0
125-129	34.70923207928831	37.0	37.0	37.0	25.0	37.0
130-134	34.65203557429656	37.0	37.0	37.0	25.0	37.0
135-139	34.526976032638274	37.0	37.0	37.0	25.0	37.0
140-144	34.464522112928826	37.0	37.0	37.0	25.0	37.0
145-149	34.3407719701336	37.0	37.0	37.0	25.0	37.0
150-151	33.90808747431438	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	25-29	-0.045480507976641604
1103	30-34	-0.040415806977691204
1103	35-39	-0.04981129565122444
1103	40-44	-0.05701188129119572
1103	45-49	-0.05310377408019207
1103	50-54	-0.032559349571869234
1103	55-59	-0.044930349214546084
1103	60-64	-0.05031445760774034
1103	65-69	-0.03768596847038452
1103	70-74	-0.05919615982445947
1103	75-79	-0.04079464871379912
1103	80-84	-0.001960954061736686
1103	85-89	-0.03583387284409412
1103	90-94	-0.027054903419156062
1103	95-99	-0.03477318362521942
1103	100-104	-0.0049986280391820515
1103	105-109	0.0030383315281667933
1103	110-114	0.00187871923334626
1103	115-119	0.016980352949808264
1103	120-124	0.02637946368131594
1103	125-129	0.07654750005635691
1103	130-134	0.045033042473129115
1103	135-139	0.0905482542306899
1103	140-144	0.13876285652651177
1103	145-149	0.1450103993934917
1103	150-151	0.16158532747442678
1104	1	-0.15168396137393358
1104	2	-0.08609771558933943
1104	3	-0.07563947384098668
1104	4	-0.1195593818461731
1104	5	-0.10747296345543589
1104	6	-0.06521587611430135
1104	7	-0.05253964471212669
1104	8	-0.016657718600491478
1104	9	-0.06164164318632004
1104	10-14	-0.04225150663000932
1104	15-19	-0.04163403788131603
1104	20-24	-0.04972645467447734
1104	25-29	-0.0678769452537793
1104	30-34	-0.06284700618681427
1104	35-39	-0.0572495344852868
1104	40-44	-0.05811723349458475
1104	45-49	-0.04863145637396826
1104	50-54	-0.05126475919522022
1104	55-59	-0.06470961941336384
1104	60-64	-0.05773689668737347
1104	65-69	-0.04946308528390375
1104	70-74	-0.046830918441536085
1104	75-79	-0.06895351119385396
1104	80-84	-0.02226492991373874
1104	85-89	-0.05063956086538468
1104	90-94	-0.030509830606426647
1104	95-99	-0.037145362596703535
1104	100-104	-0.04821658022785158
1104	105-109	-0.019835290433832142
1104	110-114	-0.020731603667989873
1104	115-119	-0.008000112261505876
1104	120-124	0.04389486417991151
1104	125-129	0.06207862712047785
1104	130-134	0.016743311363384805
1104	135-139	0.09337299132482002
1104	140-144	0.12861482127535595
1104	145-149	0.13990029001340076
1104	150-151	0.10364851192298374
1105	1	-0.10924379219093083
1105	2	-0.054201088949007215
1105	3	-0.09313832628797059
1105	4	-0.12555209416796487
1105	5	-0.05822144074284097
1105	6	-0.07585521329981759
1105	7	-0.026927206363687617
1105	8	-0.03408038064257113
1105	9	-0.0371861226076291
1105	10-14	-0.045044948570762244
1105	15-19	-0.05440957440991667
1105	20-24	-0.04476047096326852
1105	25-29	-0.06327934247241274
1105	30-34	-0.04642736222152877
1105	35-39	-0.04821879642294391
1105	40-44	-0.055115378637538015
1105	45-49	-0.06379881643509577
1105	50-54	-0.04760943251335448
1105	55-59	-0.07603606317265132
1105	60-64	-0.060697137863066075
1105	65-69	-0.061758975316763554
1105	70-74	-0.06774605689768975
1105	75-79	-0.06435615202256173
1105	80-84	-0.01396238754069401
1105	85-89	-0.08604837800211129
1105	90-94	-0.06001087471570088
1105	95-99	-0.03751527840243796
1105	100-104	-0.040561556909615604
1105	105-109	-0.04614130634429614
1105	110-114	-0.022954839746134326
1105	115-119	0.007316680675138798
1105	120-124	0.012659925509296954
1105	125-129	0.05709763029782522
1105	130-134	0.01518315419416183
1105	135-139	0.06912110320164544
1105	140-144	0.132119453309258
1105	145-149	0.1450798564027096
1105	150-151	0.14411956490833688
1106	1	-0.11022022481120075
1106	2	-0.09485730750454024
1106	3	-0.07564286797709485
1106	4	-0.10258542671076754
1106	5	-0.0810548227932344
1106	6	-0.05883923934127466
1106	7	-0.036173102151146
1106	8	-0.0598693987322747
1106	9	-0.04165784663498329
1106	10-14	-0.04506419384432547
1106	15-19	-0.039510894287715814
1106	20-24	-0.050417946882618025
1106	25-29	-0.044352572242196686
1106	30-34	-0.04893715856372438
1106	35-39	-0.04969354413065474
1106	40-44	-0.04549112073608086
1106	45-49	-0.04946950939110906
1106	50-54	-0.03388528012580849
1106	55-59	-0.05740501929055597
1106	60-64	-0.028000601271408243
1106	65-69	-0.020136387470678585
1106	70-74	-0.04383907958698785
1106	75-79	-0.0278548374273484
1106	80-84	-0.018987255961107508
1106	85-89	-0.050690054013642794
1106	90-94	-0.037299574303823135
1106	95-99	-0.04465915747177718
1106	100-104	-0.006797413012542108
1106	105-109	0.0019000204464774129
1106	110-114	-0.02124267870318164
1106	115-119	0.005133325469401484
