CHROM	FWD_CT	REV_CT	CT
KN150175.1	445	12	457
KN150176.1	48	36	84
KN150177.1	72	6	78
KN150178.1	92	240	332
KN150179.1	6	14	20
KN150180.1	1	51	52
KN150181.1	7	16	23
KN150182.1	1	17	18
KN150183.1	13	10	23
KN150184.1	173	2	175
KN150186.1	2	3	5
KN150187.1	12	118	130
KN150188.1	17	22	39
KN150189.1	1	3	4
KN150190.1	5	4	9
KN150191.1	2196	38	2234
KN150192.1	232	0	232
KN150193.1	1	1	2
KN150194.1	1	7	8
KN150195.1	220	4	224
KN150196.1	421	425	846
KN150197.1	3	9	12
KN150198.1	268	0	268
KN150199.1	157	167	324
KN150200.1	3	9	12
KN150201.1	1	0	1
KN150202.1	3	323	326
KN150203.1	471	2	473
KN150204.1	59	5	64
KN150205.1	69	33	102
KN150206.1	11	1	12
KN150207.1	419	18	437
KN150208.1	681	23	704
KN150209.1	0	40	40
KN150210.1	30	1	31
KN150211.1	5	1	6
KN150212.1	24	5	29
KN150213.1	2	19	21
KN150214.1	41	106	147
KN150215.1	0	14	14
KN150216.1	0	8	8
KN150218.1	15	7	22
KN150219.1	0	135	135
KN150220.1	28	133	161
KN150221.1	6	4	10
KN150222.1	1454	19	1473
KN150223.1	4	5	9
KN150224.1	13	106	119
KN150225.1	5	3	8
KN150226.1	248	1	249
KN150227.1	11	7	18
KN150228.1	3	1	4
KN150229.1	0	17	17
KN150230.1	3013	84	3097
KN150231.1	12	0	12
KN150232.1	31	31	62
KN150233.1	0	14	14
KN150234.1	3	3	6
KN150235.1	0	198	198
KN150236.1	6	2360	2366
KN150237.1	0	33	33
KN150238.1	0	1439	1439
KN150239.1	1102	1854	2956
KN150240.1	5	19	24
KN150241.1	5	1	6
KN150242.1	7	2	9
KN150243.1	30	777	807
KN150244.1	4	15	19
KN150246.1	1	116	117
KN150247.1	0	18	18
KN150248.1	9	6	15
KN150249.1	166	142	308
KN150250.1	12	4	16
KN150251.1	0	24	24
KN150252.1	45	65	110
KN150253.1	12	1	13
KN150254.1	82	11	93
KN150255.1	11	336	347
KN150256.1	4	124	128
KN150257.1	0	5	5
KN150258.1	29	23	52
KN150259.1	7	30	37
KN150260.1	102	9	111
KN150261.1	2	21	23
KN150262.1	55	25	80
KN150263.1	51	5	56
KN150264.1	3	4	7
KN150265.1	1013	410	1423
KN150266.1	21	2458	2479
KN150267.1	1298	28	1326
KN150268.1	9	30	39
KN150269.1	22	51	73
KN150270.1	3	50	53
KN150271.1	7	120	127
KN150272.1	2	3	5
KN150273.1	692	24	716
KN150274.1	0	1	1
KN150275.1	0	96	96
KN150276.1	0	1	1
KN150277.1	3	399	402
KN150278.1	22	41	63
KN150279.1	114	0	114
KN150280.1	0	122	122
KN150281.1	15	43	58
KN150282.1	1	17	18
KN150284.1	21	3	24
KN150285.1	7	2	9
KN150286.1	0	130	130
KN150287.1	28	4	32
KN150288.1	22	2	24
KN150289.1	25	228	253
KN150290.1	1	0	1
KN150291.1	5	5	10
KN150293.1	2	7	9
KN150294.1	0	20	20
KN150295.1	2	84	86
KN150297.1	2	6	8
KN150299.1	45	2	47
KN150300.1	62	0	62
KN150301.1	73	1	74
KN150302.1	211	2	213
KN150303.1	12	7	19
KN150304.1	0	172	172
KN150305.1	3	840	843
KN150306.1	19	9	28
KN150307.1	52	0	52
KN150308.1	23	0	23
KN150309.1	1	2	3
KN150310.1	0	2	2
KN150311.1	10	314	324
KN150313.1	26	2	28
KN150314.1	1	59	60
KN150315.1	8	191	199
KN150316.1	13	60	73
KN150317.1	14	46	60
KN150318.1	9	2	11
KN150319.1	497	4	501
KN150320.1	40	0	40
KN150321.1	45	1	46
KN150322.1	1	11	12
KN150323.1	9	0	9
KN150324.1	1025	2	1027
KN150325.1	3	10	13
KN150326.1	52	639	691
KN150327.1	0	1	1
KN150328.1	84	2	86
KN150329.1	2	200	202
KN150330.1	31	17	48
KN150331.1	8	11	19
KN150332.1	29	36	65
KN150333.1	4	1	5
KN150334.1	2	82	84
KN150335.1	8	8	16
KN150336.1	16	762	778
KN150337.1	17	6	23
KN150338.1	504	4	508
KN150339.1	134	120	254
KN150340.1	11	35	46
KN150341.1	19	210	229
KN150342.1	9	128	137
KN150343.1	49	1	50
KN150344.1	93	4	97
KN150345.1	87	11	98
KN150346.1	15	14	29
KN150347.1	857	18	875
KN150348.1	2	56	58
KN150349.1	57	303	360
KN150350.1	16	0	16
KN150351.1	26	13	39
KN150352.1	22	29	51
KN150353.1	6	40	46
KN150354.1	48	2	50
KN150355.1	12	1	13
KN150356.1	196	0	196
KN150357.1	4	2	6
KN150358.1	7	0	7
KN150359.1	290	50	340
KN150360.1	123	134	257
KN150361.1	55	1091	1146
KN150362.1	4	4	8
KN150363.1	49	46	95
KN150364.1	1	1	2
KN150365.1	10	26	36
KN150366.1	5	976	981
KN150367.1	0	6	6
KN150368.1	19	29	48
KN150369.1	45	1	46
KN150371.1	0	5	5
KN150372.1	11	10	21
KN150373.1	2	501	503
KN150374.1	31	53	84
KN150375.1	44	242	286
KN150376.1	9	78	87
KN150377.1	491	45	536
KN150378.1	122	0	122
KN150379.1	44	8	52
KN150380.1	51	42	93
KN150381.1	0	23	23
KN150382.1	5	0	5
KN150383.1	4	87	91
KN150384.1	63	250	313
KN150385.1	19	40	59
KN150386.1	3	12	15
KN150387.1	12	400	412
KN150388.1	0	2	2
KN150389.1	4	3	7
KN150390.1	7	30	37
KN150391.1	24	50	74
KN150392.1	19	2	21
KN150393.1	0	15	15
KN150394.1	0	37	37
KN150395.1	8	53	61
KN150396.1	0	4	4
KN150397.1	114	0	114
KN150398.1	2394	7	2401
KN150399.1	425	26	451
KN150400.1	6	6	12
KN150401.1	0	8	8
KN150402.1	1243	3	1246
KN150403.1	52	14	66
KN150404.1	12	5	17
KN150405.1	15	737	752
KN150406.1	1076	3	1079
KN150407.1	1	31	32
KN150408.1	2	37	39
KN150409.1	56	0	56
KN150410.1	2	4	6
KN150411.1	111	17891	18002
KN150412.1	9	45	54
KN150413.1	9	508	517
KN150414.1	1707	6	1713
KN150415.1	8	46	54
KN150416.1	13	179	192
KN150417.1	27	0	27
KN150418.1	1	7	8
KN150419.1	9	3	12
KN150420.1	29	2	31
KN150421.1	123	0	123
KN150422.1	8	0	8
KN150423.1	9	118	127
KN150424.1	5	226	231
KN150425.1	38	186	224
KN150426.1	2	0	2
KN150427.1	6	550	556
KN150428.1	19	54	73
KN150429.1	71	1	72
KN150430.1	12	39	51
KN150431.1	49	33	82
KN150432.1	18	1334	1352
KN150433.1	0	10	10
KN150434.1	25	16	41
KN150435.1	26	4685	4711
KN150436.1	23	5	28
KN150437.1	1	45	46
KN150438.1	41	0	41
KN150439.1	1	33	34
KN150441.1	7	12	19
KN150442.1	61	1352	1413
KN150443.1	75	0	75
KN150444.1	0	3	3
KN150445.1	4	0	4
KN150447.1	25	58	83
KN150448.1	4	5	9
KN150449.1	48	35	83
KN150450.1	160	7	167
KN150451.1	1	7	8
KN150452.1	0	103	103
KN150453.1	0	212	212
KN150454.1	3	23	26
KN150455.1	35	159	194
KN150456.1	43	18	61
KN150457.1	1	0	1
KN150458.1	291	325	616
KN150459.1	649	17	666
KN150460.1	134	6549	6683
KN150461.1	0	83	83
KN150462.1	6	17	23
KN150463.1	29	926	955
KN150464.1	5	89	94
KN150465.1	2	4	6
KN150466.1	11	42	53
KN150467.1	1	434	435
KN150469.1	6	12	18
KN150470.1	24	1	25
KN150471.1	1	22	23
KN150472.1	1	0	1
KN150473.1	18	0	18
KN150474.1	109	3028	3137
KN150475.1	309	5	314
KN150476.1	79	15	94
KN150477.1	11	52	63
KN150478.1	1	27	28
KN150479.1	1044	10	1054
KN150480.1	0	14	14
KN150481.1	5	47	52
KN150482.1	1	152	153
KN150483.1	1	136	137
KN150484.1	1	0	1
KN150485.1	3	0	3
KN150486.1	6	150	156
KN150487.1	1800	63	1863
KN150488.1	11	16	27
KN150489.1	19	215	234
KN150490.1	56	1	57
KN150491.1	44	26	70
KN150492.1	12	16	28
KN150493.1	1553	12	1565
KN150494.1	33	1	34
KN150495.1	2	14	16
KN150496.1	4	343	347
KN150497.1	18	27	45
KN150498.1	85	256	341
KN150499.1	0	144	144
KN150500.1	178	1	179
KN150501.1	201	6	207
KN150502.1	1	154	155
KN150503.1	3	30	33
KN150504.1	22	17	39
KN150505.1	5	45	50
KN150506.1	8	12	20
KN150507.1	2	273	275
KN150508.1	4	56	60
KN150509.1	0	5	5
KN150510.1	3	6	9
KN150511.1	3	0	3
KN150512.1	5	0	5
KN150513.1	0	1	1
KN150514.1	5	140	145
KN150515.1	14	0	14
KN150516.1	445	10	455
KN150517.1	1	131	132
KN150518.1	135	1705	1840
KN150519.1	0	16	16
KN150520.1	189	6	195
KN150521.1	10	1	11
KN150522.1	4	49	53
KN150523.1	3	2	5
KN150524.1	14	5	19
KN150525.1	0	12	12
KN150526.1	994	1	995
KN150527.1	6	10	16
KN150528.1	28	0	28
KN150529.1	1704	30	1734
KN150530.1	1	3	4
KN150531.1	58	350	408
KN150532.1	9	10	19
KN150533.1	13	0	13
KN150534.1	26	25	51
KN150535.1	13	4	17
KN150536.1	13	6	19
KN150537.1	3	686	689
KN150538.1	0	123	123
KN150539.1	336	3	339
KN150540.1	4	715	719
KN150541.1	0	29	29
KN150542.1	16	1	17
KN150543.1	0	8	8
KN150544.1	8	14	22
KN150545.1	2	240	242
KN150546.1	214	0	214
KN150547.1	12	22	34
KN150548.1	6	3	9
KN150549.1	37	0	37
KN150550.1	28	14	42
KN150551.1	1	58	59
KN150552.1	98	36	134
KN150553.1	0	38	38
KN150554.1	0	1	1
KN150555.1	1	0	1
KN150556.1	4	0	4
KN150557.1	1474	13	1487
