#Position (bp)	Coverage
2.0854976685E9	0.0
2.0901339165E9	0.0
2.0979768205E9	0.0
2.1058197245E9	0.0
2.1136626285E9	0.0
2.1215055325E9	0.0
2.1293484365E9	0.0
2.1371913405E9	0.0
2.1450342445E9	0.0
2.1528771485E9	0.0
2.1607200525E9	0.0
2.1685629565E9	0.0
2.1764058605E9	0.0
2.1842487645E9	0.0
2.1920916685E9	0.0
2.1979829355E9	0.0
2.2019043875E9	0.0
2.2077774765E9	0.0
2.2156203805E9	0.0
2.2234632845E9	0.0
2.2313061885E9	0.0
2.2391490925E9	0.0
2.2469919965E9	0.0
2.2548349005E9	0.0
2.2626778045E9	0.0
2.2705207085E9	0.0
2.2783636125E9	0.0
2.2862065165E9	0.0
2.2940494205E9	0.0
2.3018923245E9	0.0
2.3065580335E9	0.0
2.3104794855E9	0.0
2.3175781325E9	0.0
2.3254210365E9	0.0
2.3332639405E9	0.0
2.3411068445E9	0.0
2.3489497485E9	0.0
2.3567926525E9	0.0
2.3646355565E9	0.0
2.3724784605E9	0.0
2.3803213645E9	0.0
2.3881642685E9	0.0
2.3960071725E9	0.0
2.4038500765E9	0.0
2.4088026055E9	0.0
2.4127240575E9	0.0
2.4195358845E9	0.0
2.4273787885E9	0.0
2.4352216925E9	0.0
2.4430645965E9	0.0
2.4509075005E9	0.0
2.4587504045E9	0.0
2.4665933085E9	0.0
2.4744362125E9	0.0
2.4822791165E9	0.0
2.4901220205E9	0.0
2.497115954E9	0.0
2.501037406E9	0.0
2.5058078285E9	0.0
2.5136507325E9	0.0
2.5214936365E9	0.0
2.5293365405E9	0.0
2.5371794445E9	0.0
2.5450223485E9	0.0
2.5528652525E9	0.0
2.5607081565E9	0.0
2.5685510605E9	0.0
2.5763939645E9	0.0
2.580849531E9	0.0
2.584770983E9	0.0
2.5920797725E9	0.0
2.5999226765E9	0.0
2.6077655805E9	0.0
2.6156084845E9	0.0
2.6234513885E9	0.0
2.6312942925E9	0.0
2.6391371965E9	0.0
2.6469801005E9	0.0
2.6548230045E9	0.0
2.659102675E9	0.0
2.663024127E9	0.0
2.6705088125E9	0.0
2.6783517165E9	0.0
2.6861946205E9	0.0
2.6940375245E9	0.0
2.7018804285E9	0.0
2.7097233325E9	0.0
2.7161173305E9	0.0
2.7200387825E9	0.0
