TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
600000.0	88976.0	79090.6	100097.0
610000.0	89388.0	79320.8	100732.8
620000.0	89790.9	79542.6	101359.6
630000.0	90185.1	79756.2	101977.8
640000.0	90570.9	79961.9	102587.5
650000.0	90948.6	80160.1	103189.0
660000.0	91318.3	80351.1	103782.5
670000.0	91674.9	80529.5	104362.9
680000.0	92019.5	80696.6	104931.1
690000.0	92357.6	80857.9	105492.8
700000.0	92704.7	81028.7	106063.2
710000.0	93040.7	81189.1	106622.3
720000.0	93364.4	81338.0	107169.0
730000.0	93681.8	81481.2	107709.2
740000.0	93993.0	81619.0	108243.1
750000.0	94298.3	81751.5	108770.8
760000.0	94597.9	81878.9	109292.5
770000.0	94891.8	82001.5	109808.4
780000.0	95180.2	82119.3	110318.5
