DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
522	6180422	6366582	5957602	4618705	5445441	4737833	4667901	5375362	6256797	5053245	4361007	5350426	5562865	4639002	3969925	7056924	4609397		
523	6259245	6395000	5970047	4637204	5492001	4795910	5120086	5383085	6327035	5315869	4413637	5366979	5582195	4646340	3988189	7243789	4617872		
524	6427225	6420595	6008282	4661605	5492944	4803610	5220618	5445472	6377640	5396581	4463760	5367890	5584078	4650560	4041872	7357740	4654779		
525	6447499	6524975	6029945	4909592	5553127	4841864	5226506	5491697	6382590	5417136	4470662	5409427	5610430	4654234	4043041	7384631	4732460		
526	6484762	6546309	6044889	4939102	5553127	4895648	5302586	5549058	6400522	5794327	4518215	5457984	5681043	4714504	4046809	7454693	4824606		
527	6484762	6594603	6106769	4949793	5571575	4986928	5307932	5553641	6400522	5849769	4632243	5468110	5763511	4750808	4107597	7456951	4838606		
528	6484762	6619189	6140499	4954524	5665422	5007935	5307932	5577587	6416744	5849769	4702195	5480351	5774724	4795237	4111267	7530726	4888426		
529	6516273	6710981	6542473	4996595	5666892	5042005	5307932	5577587	6421301	5880598	4782371	5502601	5785658	4850368	4111674	7603706	4960870		
530	6517129	6799397	6661427	4996595	5689566	5079254	5502477	5593149	6444080	5911618	5173155	5514510	5789140	4977056	4127607	7868914	5004580		
531	6546108	6864970	6833624	4996595	5710745	5185701	5532767	5653326	6609997	5911618	5210044	5542824	5987750	5016426	4132747	8054450	5007356		
532	6557219	6959487	6861345	5049415	5751035	5217747	5544883	5677925	6691601	6258163	5210044	5573467	6012442	5030543	4192835	8235712	5098857		
533	6580045	6973739	6873311	5269949	5785934	5326379	5690043	5691905	6692158	6410687	5210044	5573467	6125161	5078376	4251955	8323577	5109805		
534	6626083	7145206	6916246	5322952	5858451	5374814	5749436	5754447	6734769	6525729	5210044	5573467	6216796	5099589	4339898	8965690	5109805		
535	6754039	7145206	6967566	5395814	5858451	5374814	5802352	5758654	6974241	6545049	5210044	5582768	6216796	5113600	4346950	8977395	5228166		
536	6774347	7145206	6996298	5535440	5865183	5415958	5844455	5794209	6974241	6565407	5246932	5693993	6268530	5129678	4347883	8989655	5303920		
537	6831631	7145206	7008065	5554019	6051637	5432466	5845909	5899208	7231194	6624257	5252309	5754496	6336519	5204398	4348611	9171989	5329888		
538	6898535	7145206	7050651	5785780	6092857	5461532	5859943	5901448	7375662	6638236	5279290	5838122	6503648	5391042	4374735	9263740	5416046		
539	7146311	7145206	7136436	5856093	6132711	5613514	5864880	5952946	7375662	6709098	5325904	5846955	6520470	5494217	4493233	9263740	5486254		
540	7148693	7145206	7150018	5985433	6171167	5626861	5930716	6075155	7414837	6761245	5348058	5986650	6638363	5523710	4493233	9393326	5488221		
541	7295312	7145206	7220364	6031091	6182197	5667518	5940768	6144570	7495058	6793222	5399723	6019317	6668496	5594113	4503709	9410891	5499243		
542	7327209	7145206	7231883	6128599	6224709	5776008	5969415	6175012	7591805	6824693	5409606	6042960	6688810	5681944	4622791	9502215	5529747		
