#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG03515	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.2834	-18.1839	-0.1108	0.6523	-0.0252
NA19670	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	0.3187	-8.2088	11.3414	-14.6744	2.2235
HG00250	EUR	EUR	0.0000	0.0000	0.0027	0.0000	0.9973	-2.2633	12.4790	5.1626	7.9809	5.7706
HG02224	EUR	EUR	0.0000	0.0000	0.0737	0.0000	0.9263	-0.1513	13.0675	5.4880	9.4214	1.6104
NA11995	EUR	EUR	0.0000	0.0000	0.0021	0.0000	0.9979	1.6115	12.3206	5.9410	9.3475	4.3545
HG03805	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7053	-12.2668	-16.3301	-4.1662	-1.5411
NA20819	EUR	EUR	0.0000	0.0000	0.0049	0.0000	0.9951	1.0388	10.9010	5.4532	9.9628	-2.2843
NA18960	EAS	EAS	0.9991	0.0000	0.0009	0.0000	0.0000	-6.6255	-43.7932	3.9852	6.2458	8.5078
HG00266	EUR	EUR	0.0000	0.0000	0.1779	0.0000	0.8221	-0.0526	9.3675	5.5861	7.7293	6.2251
NA21113	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9932	-6.3989	-19.5766	-5.5029	7.1905
HG00107	EUR	EUR	0.0000	0.0000	0.0007	0.0000	0.9993	-1.0676	13.7040	6.7780	10.4392	2.5840
NA19649	EUR	AMR	0.0004	0.0000	0.2831	0.0001	0.7165	0.4287	3.2034	8.3129	-0.5596	2.9946
HG01303	AMR	AMR	0.0000	0.0000	0.9998	0.0001	0.0001	5.8671	1.4597	8.3936	-0.7907	-1.8298
HG02031	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5920	-44.3103	0.7300	8.2253	-2.3065
HG02084	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.0237	-42.5251	0.7782	6.7039	-4.5234
HG03856	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9549	-10.8048	-21.4006	-6.5704	4.3110
HG03600	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.6672	-10.2021	-21.9310	-5.9750	1.9744
HG00102	EUR	EUR	0.0000	0.0000	0.0102	0.0000	0.9898	0.1646	11.8199	5.7443	8.8967	3.5175
HG00143	EUR	EUR	0.0000	0.0000	0.0259	0.0000	0.9741	0.5960	12.6351	4.3507	8.5483	0.2982
HG02497	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.8734	-16.0297	0.5752	2.3474	2.3753
HG02373	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.4422	-45.1165	1.6785	9.6720	-3.7624
HG02364	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-5.9747	-45.4039	0.9336	9.1311	-1.1508
NA20813	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	2.4492	14.2523	4.6751	8.0063	2.2801
NA19789	AMR	AMR	0.0000	0.0003	0.9996	0.0001	0.0000	0.2273	-4.3481	10.7818	-10.1321	5.6542
HG01139	AMR	AMR	0.0004	0.0002	0.9968	0.0002	0.0024	8.6528	-4.6400	7.4425	-5.0340	-1.3150
HG03787	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.7602	-9.7257	-20.4862	-5.8462	-0.6936
HG02187	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-6.3473	-44.4323	0.7993	6.9774	-3.2898
HG00500	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7735	-44.1839	2.8640	5.8873	2.6508
HG01363	AMR	AMR	0.0000	0.0002	0.9998	0.0000	0.0000	8.9100	-4.1261	9.7246	-2.4446	1.8051
HG01345	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	2.4384	1.9394	7.8001	-1.2888	1.2920
HG00737	EUR	AMR	0.0000	0.0000	0.1058	0.0000	0.8942	5.3798	7.1710	8.0310	5.1500	4.2572
NA19102	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.2973	-16.8143	-0.5850	1.8920	3.9873
NA18984	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-8.1584	-41.9554	2.7319	5.8436	7.2622
NA18526	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9254	-44.2444	3.0209	7.3669	5.3885
NA06984	EUR	EUR	0.0000	0.0000	0.0016	0.0000	0.9984	0.0835	12.1573	5.8413	10.0020	2.3059
HG03947	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0457	-7.9071	-19.2454	-4.6623	1.3298
NA12749	EUR	EUR	0.0000	0.0000	0.0329	0.0000	0.9671	0.0921	12.4677	5.6410	8.0079	-1.1289
HG02006	AMR	AMR	0.0000	0.0336	0.9664	0.0000	0.0000	24.1742	-11.1573	9.1161	-9.5033	-0.9564
HG04162	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-2.3022	-13.0466	-16.6823	-3.3930	3.7931
HG03887	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.8089	-8.0401	-20.3889	-6.0931	2.4836
HG03604	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6372	-11.6943	-16.5332	-4.1140	0.3870
HG02025	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7157	-43.5078	2.9682	8.5385	-4.1012
NA18861	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.4254	-17.5879	-1.1070	1.1493	3.8454
HG01525	EUR	EUR	0.0000	0.0000	0.0279	0.0000	0.9721	2.6772	11.3140	4.3977	8.1217	3.6951
HG01383	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-0.5984	3.0484	9.5438	-4.0000	1.9091
NA19399	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.6190	-17.6794	-0.4267	0.3097	1.3837
HG02490	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.3162	-1.5548	-13.1221	-0.0591	0.4421
HG01519	EUR	EUR	0.0000	0.0000	0.0177	0.0000	0.9823	0.1749	14.0209	4.9351	9.8026	-3.1093
NA20318	AFR	AFR	0.0000	0.9995	0.0005	0.0000	0.0000	44.4839	-11.2387	2.6994	2.9171	7.1819
NA21104	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3950	-7.4058	-19.7464	-5.3238	3.8902
HG03736	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0596	-8.2998	-21.1520	-1.9892	5.1337
HG02230	EUR	EUR	0.0000	0.0000	0.0138	0.0000	0.9862	0.8744	13.2938	3.2017	10.7631	1.1520
HG03521	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.1982	-16.0121	0.1403	1.5037	-0.2596
NA19795	AMR	AMR	0.0000	0.0001	0.9999	0.0000	0.0000	1.4397	-7.6244	13.1011	-14.9153	-0.3152
HG03124	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3796	-17.8102	-0.1754	1.1224	5.3681
HG03773	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7236	-7.9562	-23.7669	-5.7673	3.2479
HG02804	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.3199	-16.4328	-0.9607	1.8501	0.9283
HG03717	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.8134	-8.4661	-23.3277	-5.2338	2.1737
HG01280	AMR	AMR	0.0000	0.0002	0.9998	0.0000	0.0000	0.7420	0.3066	11.4057	-2.6229	1.0832
HG00096	EUR	EUR	0.0000	0.0000	0.0165	0.0000	0.9835	0.8799	13.2550	4.9874	9.2886	2.5684
NA19334	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.4173	-17.0485	-1.3135	2.5214	3.0426
HG04038	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.8146	-10.5094	-19.9705	-2.8680	0.1531
NA19320	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.4065	-16.2372	-0.6672	1.6452	2.8278
NA18628	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1799	-44.0295	1.1503	8.0458	0.2019
HG01479	EUR	AMR	0.0000	0.0000	0.0978	0.0000	0.9022	3.0970	6.8180	6.7250	4.0914	4.0940
NA10847	EUR	EUR	0.0000	0.0000	0.4718	0.0000	0.5282	0.6564	13.4107	5.6927	7.0596	5.6522
HG03189	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.0728	-19.6115	0.2026	2.7390	5.2149
HG01197	EUR	AMR	0.0000	0.0000	0.0311	0.0000	0.9689	3.3693	6.1385	7.6108	1.9675	0.9053
HG01970	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-4.4537	-10.1492	17.4848	-22.9669	1.2440
HG02947	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.0722	-17.2977	-1.9312	1.6892	3.8598
NA18971	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.8723	-44.5010	3.7558	4.7355	8.7949
HG01092	AMR	AMR	0.0000	0.0000	0.8688	0.0000	0.1312	16.8139	1.0038	6.1412	1.9557	0.2118
NA19652	AMR	AMR	0.0002	0.0000	0.9720	0.0004	0.0273	0.8498	0.9802	9.0563	-4.4034	4.5843
HG02455	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	51.8164	-12.9911	-0.4938	2.2887	1.6354
HG03485	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.1567	-18.0260	1.6162	2.6199	2.3313
HG01098	AMR	AMR	0.0000	0.0000	0.9960	0.0000	0.0040	6.6048	5.2521	8.0345	2.2377	1.4882
HG01612	EUR	EUR	0.0000	0.0000	0.0176	0.0000	0.9824	2.5893	11.9382	5.6640	9.6282	0.4028
HG04093	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.2336	-8.7673	-22.7142	-6.3217	-2.9976
NA19318	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.9946	-16.7728	-1.0296	1.8629	1.7080
NA19190	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.9905	-18.9781	-1.2863	0.7754	2.6034
HG01029	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1761	-44.5890	1.4029	7.2978	-2.7442
NA18627	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9713	-44.6998	2.8103	6.8043	3.2031
NA20581	EUR	EUR	0.0000	0.0000	0.0034	0.0000	0.9966	1.2220	13.7313	3.0860	9.2524	-0.2010
HG02079	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.9718	-43.8031	0.7697	6.5958	-2.1798
NA21118	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.4750	-5.8088	-20.8273	-3.6333	2.2874
HG03730	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0489	-9.9880	-22.3532	-7.0379	3.5262
HG03850	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7225	-5.7564	-19.3712	-4.2802	-4.7377
HG04164	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1708	-10.8753	-17.0709	-3.8802	0.7590
HG03397	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.4347	-16.9614	-0.2534	2.6387	3.0397
HG03652	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9873	-4.9749	-16.9997	-3.0084	1.5083
NA19651	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	3.4454	1.6748	9.9110	-5.3325	-0.0106
NA18964	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.4966	-43.6088	3.0858	5.8127	7.7294
HG00654	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6275	-44.7548	0.7746	8.3907	3.5768
HG00554	AMR	AMR	0.0043	0.0001	0.6756	0.0021	0.3179	4.6960	5.9794	6.5281	3.7783	1.9080
HG02941	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.4242	-17.4834	-1.0481	2.1983	1.5848
NA20587	EUR	EUR	0.0000	0.0000	0.0082	0.0000	0.9918	1.7228	12.9418	2.9505	9.3144	4.2492
HG03160	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7120	-18.2358	-1.0097	0.8903	1.7634
HG02178	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9117	-44.4615	-0.7016	8.5791	-4.1672
HG02398	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9626	-43.7808	1.6693	7.6771	-4.9591
HG01699	EUR	EUR	0.0000	0.0000	0.0901	0.0000	0.9099	2.8136	13.0800	3.9909	8.0931	3.8874
HG03897	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9366	-6.4860	-19.5747	-3.9751	3.9650
