WTCHG_171117_262	WTCHG_171117_264	
21.127834	19.017616	
21.166151	19.049742	
21.14448	19.074612	
21.14964	19.131607	
21.163055	19.169949	
21.142414	19.120207	
21.146544	19.129534	
21.099072	19.162695	
21.144777	19.146114	
21.117891	19.182383	
21.169598	19.123444	
21.22544	19.113188	
21.220268	19.060228	
21.314375	19.068537	
21.266804	19.106956	
21.335056	19.074766	
21.311272	19.036345	
21.35574	19.02077	
21.404343	18.998962	
21.467909	18.958464	
21.531055	18.959501	
21.511387	18.904465	
21.467909	18.920042	
21.468945	18.953272	
21.439959	18.959501	
21.451345	18.917965	
21.471014	18.876429	
21.490683	18.86812	
21.464804	18.839045	
21.5176	18.87422	
21.510351	18.876299	
21.60145	18.862785	
21.547619	18.81289	
21.567287	18.841995	
21.602072	18.759874	
21.590673	18.793139	
21.632124	18.753637	
21.65664	18.776506	
21.678423	18.754168	
21.682573	18.763294	
21.659752	18.771637	
21.662863	18.74244	
21.71755	18.793535	
21.63863	18.84463	
21.576324	18.851929	
21.56445	18.75391	
21.578564	18.688217	
21.616026	18.626694	
21.644121	18.640251	
21.616026	18.54953	
21.620188	18.5683	
21.569199	18.589155	
21.592283	18.55683	
21.569344	18.572025	
21.574556	18.512526	
21.554745	18.455591	
21.548489	18.454546	
21.54953	18.486938	
21.65762	18.471758	
21.691023	18.52406	
21.652401	18.536612	
21.63883	18.486403	
21.667015	18.517782	
21.66284	18.49477	
21.639875	18.471758	
21.672234	18.493723	
21.624218	18.463388	
21.636744	18.474895	
21.61691	18.467573	
21.655172	18.526701	
21.703976	18.56335	
21.648535	18.536125	
21.701883	18.621593	
21.766737	18.633123	
21.725655	18.628931	
21.74109	18.633123	
21.685535	18.619497	
21.728512	18.584906	
21.730608	18.578617	
21.768343	18.613207	
21.743187	18.544025	
21.757862	18.524109	
21.77673	18.487421	
21.7935	18.502096	
21.795597	18.451782	
21.790356	18.430819	
21.798742	18.465408	
21.815514	18.496855	
21.78826	18.490032	
21.808176	18.478992	
21.816563	18.461134	
21.789309	18.461134	
21.849947	18.464285	
21.806925	18.454832	
21.820566	18.435925	
21.802729	18.446428	
21.715635	18.436382	
21.705141	18.459517	
21.67681	18.416405	
21.641132	18.439537	
21.5404	18.418947	
21.524658	18.370527	
21.5383	18.335789	
21.443861	18.306316	
21.363064	18.268421	
21.331932	18.243414	
21.30252	18.216017	
21.319328	18.190727	
21.304623	18.261328	
21.336134	18.289335	
21.360294	18.292503	
21.30042	18.318182	
21.272058	18.344608	
21.268139	18.355179	
21.365263	18.2537	
21.414557	18.236786	
21.393875	18.200846	
21.380148	18.181818	
21.33791	18.176533	
21.352694	18.163847	
21.353065	18.18499	
21.393234	18.222221	
21.440804	18.206348	
21.455603	18.150265	
21.504229	18.21693	
21.498943	18.195766	
21.483088	18.118519	
21.516912	18.122751	
21.490486	18.097355	
21.434462	18.120762	
21.411205	18.115465	
21.437037	18.133474	
21.45291	18.12288	
21.374603	18.088984	
21.35699	18.09428	
21.353128	18.028603	
21.41189	18.043478	
21.390657	17.985153	
21.41189	18.043478	
21.403397	18.110287	
21.376858	18.073172	
21.37792	18.138918	
21.33758	18.100742	
21.321655	18.058325	
21.37792	18.076433	
21.308918	18.136942	
21.29724	18.059448	
21.360933	18.0414	
21.325903	17.9862	
21.34501	18.005308	
21.39172	18.007431	
21.389597	18.008501	
21.381104	18.024443	
21.386412	18.053135	
21.387886	18.112766	
21.450584	18.129925	
21.431456	18.124601	
21.402763	18.1258	
21.427206	18.083157	
21.411264	18.053362	
21.462767	18.062967	
21.52766	18.025614	
21.469149	18.029882	
21.429787	18.072649	
21.41702	18.050213	
21.401064	18.056623	
21.415956	18.03312	
21.39468	18.051283	
21.297873	18.080128	
21.3	18.076017	
21.337593	18.097431	
21.355698	18.0803	
21.371672	17.978586	
21.317358	18.022509	
21.299574	17.992496	
21.298508	18.003216	
21.284649	17.991425	
21.29211	17.967812	
21.314499	17.968884	
21.294243	17.984978	
21.233475	17.983906	
21.257996	17.997854	
21.25507	17.939915	
21.26681	18.005371	
21.313766	18.04726	
21.242262	17.969925	
21.20406	17.986036	
21.215813	17.979591	
21.219017	18.037634	
21.186966	18.053764	
21.141026	18.074194	
21.1453	18.066668	
21.149572	18.093649	
21.208334	18.092573	
