CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
37.818478	41.803013	39.929882	43.043198	47.73181	43.463657	
37.838043	41.813778	39.857605	42.934124	47.739132	43.419605	
37.916306	41.880516	39.7851	42.768898	47.653595	43.38216	
37.91522	41.969826	39.805614	42.70054	47.941113	43.460773	
38.027203	41.97737	39.815334	42.78355	47.762268	43.712708	
37.930206	42.074512	39.845573	42.70779	47.782513	43.618362	
37.842796	41.82054	39.85205	42.57251	47.676502	43.566998	
37.925766	41.6573	40.028137	42.677876	47.51641	43.6796	
38.090908	41.683983	40.018417	42.715836	47.54267	43.926746	
38.026318	41.658722	40.03575	42.693146	47.49069	43.930077	
37.9068	41.570965	40.108814	42.620502	47.53012	43.988903	
37.862938	41.663773	40.066376	42.724102	47.483025	43.927856	
37.901207	41.698154	40.015232	42.89422	47.3483	44.04	
38.073708	41.747826	40.062023	42.7082	47.129246	44.064445	
38.10573	41.73776	40.027233	42.723495	47.189484	44.120132	
38.26461	41.982533	39.92157	42.691467	47.199562	44.16147	
38.246967	41.981422	39.93784	42.632385	47.297474	44.19822	
38.349888	41.97705	40.087337	42.656456	47.26235	44.296215	
38.530975	41.95405	40.119255	42.678726	47.324177	44.243874	
38.4823	42.008762	40.12171	42.455044	47.20682	44.23051	
38.3134	41.83772	39.916485	42.426537	47.10022	44.10268	
38.44	41.840836	40.02536	42.426537	47.14774	44.05134	
38.446667	41.824368	40.13576	42.601536	47.172375	43.992188	
38.43493	42.0	40.311604	42.664837	47.14696	44.122906	
38.418243	42.061672	40.526024	42.69527	47.054142	44.068233	
38.433815	41.991188	40.477825	42.667767	46.99558	44.1566	
38.36485	41.92291	40.331112	42.563255	47.066444	43.848656	
38.3693	41.972435	40.375973	42.546753	46.856983	43.79036	
38.39465	42.01766	40.312153	42.56954	47.014446	44.032585	
38.44308	42.07293	40.261986	42.463577	46.93889	44.082115	
38.453022	41.93584	40.23523	42.561325	47.016724	44.31081	
38.36842	41.967922	40.28125	42.585827	47.136314	44.302143	
38.426487	41.842747	40.61607	42.57918	47.085106	44.531002	
38.457302	41.820198	40.850445	42.53326	47.16928	44.616253	
38.498875	41.864445	40.80357	42.554325	47.16629	44.638824	
38.507866	41.78754	40.84152	42.52439	47.14173	44.531673	
38.761528	41.800667	40.911633	42.492786	47.217342	44.50794	
38.73311	41.738308	40.88367	42.46504	46.989864	44.555557	
