Data File Name,2100 expert_High Sensitivity DNA Assay_DE13807144_2017-08-04_14-04-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-08-04
Date Created,04 August 2017 13:04:08
Date Last Modified,04 August 2017 14:40:00
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
79.35,1.751504
79.4,1.635595
79.45,1.522247
79.5,1.397011
79.55,1.439789
79.6,1.383574
79.65,1.239962
79.7,1.14661
79.75,1.02315
79.8,0.9135616
79.85,0.9003721
79.9,0.7907633
79.95,0.5844032
80,0.4803688
80.05,0.6001312
80.1,0.6927806
80.15,0.8309178
80.2,0.860972
80.25,0.6466944
80.3,0.4486191
80.35,0.4853576
80.4,0.4454941
80.45,0.3710195
80.5,0.322638
80.55,0.2464962
80.6,0.2538813
80.65,0.352691
80.7,0.4314139
80.75,0.4218984
80.8,0.3028311
80.85,5.261601E-02
80.9,-0.1596271
80.95,-0.2767065
81,-0.3334814
81.05,-0.1288813
81.1,3.939081E-03
81.15,-4.733238E-02
81.2,-0.1414002
81.25,-0.2257113
81.3,-0.3298053
81.35,-0.355065
81.4,-0.2140166
81.45,-0.2900505
81.5,-0.4062183
81.55,-0.3992515
81.6,-0.5126075
81.65,-0.6569959
81.7,-0.6911258
81.75,-0.5960793
81.8,-0.5855146
81.85,-0.5878772
81.9,-0.5947846
81.95,-0.7021465
82,-0.772395
82.05,-0.8201993
82.1,-0.7927938
82.15,-0.7585018
82.2,-0.8079361
82.25,-0.794251
82.3,-0.8214967
82.35,-0.9390783
82.4,-1.123029
82.45,-1.155553
82.5,-1.064877
82.55,-1.022197
82.6,-0.9070792
82.65,-0.8522131
82.7,-0.8368469
82.75,-0.8142762
82.8,-0.7286518
82.85,-0.7021868
82.9,-0.5398603
82.95,-6.670154E-02
83,0.9864361
83.05,3.51567
83.1,9.393895
83.15,20.97775
83.2,40.84897
83.25,70.74213
83.3,110.6981
83.35,155.7972
83.4,201.721
83.45,240.9468
83.5,264.2664
83.55,267.1262
83.6,250.8295
83.65,218.5016
83.7,179.1842
83.75,140.7759
83.8,106.8293
83.85,79.69508
83.9,60.16074
83.95,47.40297
84,38.22149
84.05,32.18777
84.1,27.82177
84.15,24.65148
84.2,21.94814
