Distance from GATC site	Reads + strand	Reads - strand
-1387	89661.000000	88706.000000
-1386	89455.000000	89448.500000
-1385	89390.500000	89150.500000
-1384	89478.500000	89683.000000
-1383	89660.500000	89949.000000
-1382	89237.000000	89948.000000
-1381	89695.000000	89751.000000
-1380	89081.000000	89696.000000
-1379	90052.000000	89191.000000
-1378	89433.500000	89173.500000
-1377	88402.000000	89543.000000
-1376	89275.000000	89943.500000
-1375	89697.000000	89727.000000
-1374	89126.000000	89656.000000
-1373	90128.000000	89312.500000
-1372	88931.000000	90085.500000
-1371	88675.000000	89410.500000
-1370	89618.000000	89731.000000
-1369	88629.000000	89872.000000
-1368	88114.500000	89827.000000
-1367	89128.500000	90201.000000
-1366	89008.000000	90149.000000
-1365	89815.000000	89915.500000
-1364	89440.500000	89692.500000
-1363	88972.000000	89184.000000
-1362	89185.000000	89314.000000
-1361	88789.000000	89892.500000
-1360	89782.000000	90199.000000
-1359	89365.000000	89539.500000
-1358	89858.000000	89893.000000
-1357	89511.000000	89340.500000
-1356	89264.500000	89949.500000
-1355	89634.500000	89955.000000
-1354	90041.500000	88706.000000
-1353	90013.500000	89840.000000
-1352	89168.000000	89819.000000
-1351	89326.000000	89673.500000
-1350	89625.000000	88847.000000
-1349	89450.500000	90183.000000
-1348	89892.500000	89164.000000
-1347	89768.500000	90094.500000
-1346	89229.500000	89846.000000
-1345	88874.000000	89631.000000
-1344	89296.500000	89749.000000
-1343	89441.500000	89414.500000
-1342	88839.500000	89950.000000
-1341	89273.500000	88893.000000
-1340	89362.000000	89229.000000
-1339	89774.000000	90315.000000
-1338	89758.500000	89512.000000
-1337	89629.000000	89603.500000
-1336	89415.000000	89251.000000
-1335	89099.000000	89503.000000
-1334	89683.000000	89384.500000
-1333	89801.500000	90066.000000
-1332	89346.000000	89605.500000
-1331	89854.000000	89602.500000
-1330	89273.000000	90404.500000
-1329	89117.500000	89646.000000
-1328	89545.000000	89752.500000
-1327	89590.500000	89610.500000
-1326	89333.500000	89622.000000
-1325	89438.500000	90211.000000
-1324	89116.000000	89705.000000
-1323	89309.000000	88995.000000
-1322	88663.500000	89828.000000
-1321	89677.500000	89431.000000
-1320	88903.000000	90589.000000
-1319	89142.500000	89418.500000
-1318	89084.500000	88992.500000
-1317	89348.000000	89614.000000
-1316	89820.500000	89765.000000
-1315	89513.000000	90216.000000
-1314	89299.000000	89948.000000
-1313	89173.000000	89958.000000
-1312	88782.500000	90034.000000
-1311	89403.000000	89608.000000
-1310	88991.000000	90473.500000
-1309	88816.000000	89959.000000
-1308	89797.000000	89814.500000
-1307	89288.000000	89586.000000
-1306	89306.500000	90291.000000
-1305	89348.500000	89870.000000
-1304	89244.000000	89936.500000
-1303	89341.000000	89729.500000
-1302	88997.000000	90289.000000
-1301	89773.000000	89644.500000
-1300	89462.500000	90016.000000
-1299	89296.500000	89522.500000
-1298	89828.000000	89125.500000
-1297	89546.500000	89782.500000
-1296	89071.000000	90098.500000
-1295	90014.000000	89212.500000
-1294	88653.000000	89785.000000
-1293	89441.000000	89040.500000
-1292	89350.000000	89661.000000
-1291	89089.500000	89678.500000
-1290	89856.000000	89810.500000
-1289	89238.000000	89614.000000
-1288	89256.500000	90060.000000
-1287	89372.500000	89107.500000
-1286	89075.500000	89218.000000
-1285	89684.500000	90269.500000
-1284	88531.000000	89620.000000
-1283	89495.000000	90025.000000
-1282	89662.500000	89385.500000
-1281	89199.000000	90606.500000
-1280	89522.000000	89649.000000
-1279	89541.000000	90536.000000
-1278	89425.500000	89554.500000
-1277	90057.500000	89617.500000
-1276	89458.000000	89978.000000
-1275	89609.500000	89451.500000
-1274	89803.500000	89572.000000
-1273	89929.500000	89914.500000
-1272	89617.500000	89742.500000
-1271	89601.500000	89844.500000
-1270	89844.000000	89450.000000
-1269	89538.500000	89524.000000
-1268	89870.500000	89734.500000
-1267	89229.500000	89190.000000
-1266	89620.500000	90443.000000
-1265	89173.500000	89373.000000
-1264	89540.500000	89476.000000
-1263	88456.000000	89875.500000
-1262	89022.000000	89789.500000
-1261	89701.000000	89552.500000
-1260	89317.000000	89368.000000
-1259	89411.000000	89414.000000
-1258	89391.000000	88693.000000
-1257	89403.000000	89568.500000
-1256	89208.500000	89831.000000
-1255	89481.500000	90672.000000
-1254	89501.500000	89619.000000
-1253	89581.500000	89552.500000
-1252	89011.000000	89202.500000
-1251	89665.000000	89483.000000
-1250	89128.000000	89828.500000
-1249	90083.500000	89538.500000
-1248	89172.000000	89513.500000
-1247	88853.000000	89205.500000
-1246	89786.500000	89551.000000
-1245	89872.000000	89625.000000
-1244	89875.000000	89319.000000
-1243	89568.000000	89986.000000
-1242	88587.000000	89446.500000
-1241	88666.500000	89803.000000
-1240	89104.500000	89771.000000
-1239	89192.500000	90088.500000
-1238	89539.000000	89227.000000
-1237	89286.000000	89597.000000
-1236	89498.500000	89790.500000
-1235	89073.500000	89479.500000
-1234	89502.000000	90209.500000
-1233	88896.500000	90173.000000
-1232	89253.000000	89584.500000
-1231	88927.000000	89720.500000
-1230	90051.000000	90050.500000
-1229	88743.500000	89337.000000
-1228	88660.000000	89618.000000
-1227	89504.000000	89598.000000
-1226	89924.000000	89648.500000
-1225	89678.000000	89479.500000
-1224	88780.000000	89315.500000
-1223	89692.000000	90011.500000
-1222	89098.000000	90099.000000
-1221	89762.000000	89761.500000
-1220	89228.000000	89280.500000
-1219	88413.500000	90324.000000
-1218	89422.500000	89112.000000
-1217	88717.500000	89903.500000
